LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 152720 9.458329 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 165109 10.225611 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 146709 9.086053 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 112845 6.988771 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 146414 9.067783 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 120124 7.439578 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 119561 7.404710 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 146365 9.064748 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 144236 8.932894 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 116387 7.208136 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 145936 9.038179 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 118523 7.340424 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 154365 9.560208 
LINE: 333 | tid: 0 wid: 0 | i: 2 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 120873 7.485965 
LINE: 333 | tid: 1 wid: 0 | i: 2 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 120088 7.437348 
